Category URL,Product URL,Page Number,Status,Error Type,Fallback Used,Records Written,Updated At
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/disposable-scalpels-bard-parker-bd,3,success,,no,6,1777471065
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/disposable-scalpels-integra-miltex,3,success,,no,8,1777471063
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/encore-reg-sensi-touch-reg-pf,5,success,,no,12,1777470882
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/essential-textured,5,success,,no,1,1777470858
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/ethicon-sutures,4,success,,no,105,1777471097
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/evolve-trade-300,4,success,,no,10,1777470841
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/feather-sup-reg-nbsp-sup-microsurgical-blades,1,success,,no,4,1777470998
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/flexaprene-green,5,partial_fallback,no_master_data,yes,1,1777470887
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/foundation-trade,1,success,,no,6,1777470975
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/gloveup-sup-reg-sup,2,success,,no,5,1777470770
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/guidor-reg-e-em-asy-graft-reg-em-classic,2,success,,no,6,1777471020
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/halo-trade,6,success,,no,2,1777470913
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/halyard-black-nitrile,1,success,,no,5,1777470755
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/healiaid-reg-strong-nbsp-strong-collagen,1,success,,no,2,1777470990
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/helimend-trade-and-helimend-trade-advanced,2,partial_fallback,no_master_data,yes,1,1777471018
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/heliplug-reg,1,success,,no,1,1777470987
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/helitape-reg,3,success,,no,1,1777471049
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/hemostat-sup-trade-sup,1,success,,no,1,1777470992
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves,6,success,,no,12,1777470917
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/hybenx-sup-reg-sup,2,success,,no,1,1777471031
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/inspire-trade,4,success,,no,10,1777470826
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/instant-cold-pack,2,success,,no,2,1777471028
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/integra-sup-reg-sup-miltex-sup-reg-sup-helicote-sup-reg-sup,3,success,,no,1,1777471051
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/iv-administration-sets,2,success,,no,3,1777471008
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/lactated-ringer-s,2,success,,no,2,1777471006
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/lavender-nitrile,1,success,,no,5,1777470729
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/look-trade-sutures,4,success,,no,129,1777471095
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/luxe-trade,3,success,,no,10,1777470821
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-blue,6,success,,no,2,1777470898
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-pink,3,partial_fallback,no_master_data,yes,1,1777470812
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-reg-nitrile,6,success,,no,4,1777470922
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micro-touch-sup-reg-sup-affinity-sup-reg-sup,5,success,,no,10,1777470890
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-92-134,6,success,,no,4,1777470900
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-comfortgrip-trade,7,partial_fallback,no_master_data,yes,1,1777470944
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade,5,success,,no,10,1777470870
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-freeform-reg-se,6,success,,no,4,1777470931
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-midknight-reg,6,success,,no,2,1777470906
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-midknight-trade-touch,3,partial_fallback,no_master_data,yes,1,1777470810
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-tq-601-soft-white-nitrile,6,success,,no,2,1777470924
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-xceed-reg,2,success,,no,10,1777470779
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-sup-reg-sup,2,success,,no,10,1777470766
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-trade-touch,3,success,,no,2,1777470800
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neopro-sup-reg-sup,5,success,,no,4,1777470892
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neosoft-trade,5,success,,no,4,1777470884
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,success,,no,8,1777470727
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/micropro-textured,7,partial_fallback,no_master_data,yes,1,1777470951
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/myco-medical-glassvan-reg-microsurgical-blades-carbon-steel,4,success,,no,2,1777471072
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/myco-medical-nbsp-glassvan-reg-scalpel-blades,3,success,,no,10,1777471059
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/myco-medical-reli-reg-pro-sutures,4,success,,no,38,1777471090
https://www.safcodental.com/catalog/sutures-surgical-products,https://www.safcodental.com/product/myco-medical-technocut-reg-disposable-scalpels,3,success,,no,5,1777471056
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nitriderm-reg-ultra-white,6,success,,no,1,1777470926
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nitriderm-sup-reg-sup-nbsp-nitrile-surgical-gloves,5,success,,no,7,1777470877
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/nuvo-trade,5,success,,no,4,1777470875
