Product Name,Brand,Item Number,Mfr #,Category Hierarchy,Product URL,Qty,Price,Unit,Availability,Description,Attributes,Image URLs,Alternative Product URL,Alternative Item Number
Microflex Ultraform gloves small/medium 300/box,Ansell,4751247,UF-524-SM,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,300/box,In stock,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"Small/Medium, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Microflex Ultraform gloves medium 300/box,Ansell,4751250,UF-524-M,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,300/box,In stock,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"Medium, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Microflex Ultraform gloves medium/large 300/box,Ansell,4751252,UF-524-ML,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,300/box,In stock,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"Medium/Large, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Microflex Ultraform gloves large 300/box,Ansell,4751255,UF-524-L,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,300/box,Backorder,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"Large, 300/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Microflex Ultraform gloves x-large 250/box,Ansell,4751260,UF-524-XL,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Microflex Ultraform,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,33.49,250/box,In stock,Powder-free nitrile exam gloves. Ultra-soft and form fitting. Textured fingertip finish Beaded cuff Chlorinated Ambidextrous Cobalt blue color Thickness: at palm 2.0 mils; at fingertip 3.1 mils 300 gloves per box (250 for x-large) Order 10 boxes to purchase a case,"X-large, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Lavender Nitrile gloves x-small 250/box,Halyard,3020800,52816,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Lavender Nitrile,https://www.safcodental.com/product/lavender-nitrile,1,28.99,250/box,In stock,Powder-free nitrile exam gloves.,"X-small, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Lavender Nitrile gloves small 250/box,Halyard,3020810,52817,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Lavender Nitrile,https://www.safcodental.com/product/lavender-nitrile,1,28.99,250/box,Backorder,Powder-free nitrile exam gloves.,"Small, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Lavender Nitrile gloves medium 250/box,Halyard,3020815,52818,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Lavender Nitrile,https://www.safcodental.com/product/lavender-nitrile,1,28.99,250/box,Backorder,Powder-free nitrile exam gloves.,"Medium, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Lavender Nitrile gloves large 250/box,Halyard,3020822,52819,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Lavender Nitrile,https://www.safcodental.com/product/lavender-nitrile,1,28.99,250/box,In stock,Powder-free nitrile exam gloves.,"Large, 250/box","https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Lavender Nitrile gloves x-large 230/box,Halyard,3020830,52820,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Lavender Nitrile,https://www.safcodental.com/product/lavender-nitrile,1,28.99,230/box,In stock,Powder-free nitrile exam gloves.,"X-large, 230/box","https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
