Category URL,Product URL,Page Number,Page Type,Classification Reason,Status,Error Stage,Error Type,Error Message,HTTP Status,Fallback Used,Records Written
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aquasoft,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,1,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,1,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/lavender-nitrile,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,1,multi_group_item_page,masterData found with grouped item rows,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-amazing-reg,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aqua-source-reg,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/xlim-reg,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,1,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/compac-nitrile,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/revosoft-reg-nitrile-gloves,1,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/crave-trade,1,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-black,1,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/halyard-black-nitrile,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/alasta-pro,1,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/ocean-pacific-sup-reg-sup-neonatural-sup-trade-sup,2,item_table_page,masterData found,success,,,,,no,2
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/true-comfort-reg-blu,2,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-sup-reg-sup,2,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/black-maxx-sup-reg-sup,2,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/gloveup-sup-reg-sup,2,item_table_page,masterData found,success,,,,,no,5
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/bio-nitrile-sup-reg-sup,2,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/carbon-reg-air,2,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/beesure-ultraslim-nitrile,2,item_table_page,masterData found,success,,,,,no,8
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/microflex-reg-xceed-reg,2,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/beesure-sup-reg-sup-nitrile,2,item_table_page,masterData found,success,,,,,no,10
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/alasta-reg-aloe,2,item_table_page,masterData found,success,,,,,no,4
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-ez-green-chloroprene,2,item_table_page,masterData found,success,,,,,no,12
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-soothe,2,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-surpass-trade,2,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-prevail-trade-nitrile-gloves,2,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves,3,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-nitrilex-reg-nitrile-gloves,3,item_table_page,masterData found,success,,,,,no,15
https://www.safcodental.com/catalog/gloves,https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves,3,item_table_page,masterData found,success,,,,,no,15
